date,orders,revenue,sessions,conversion_rate,revenue_7d_rolling
2024-03-17,13,17007.23,74,0.18,26094.9
2024-03-18,12,33590.32,63,0.19,27709.16
2024-03-19,14,23861.92,70,0.2,26874.91
2024-03-20,15,22929.43,73,0.21,24900.91
2024-03-21,15,21578.58,71,0.21,23485.48
2024-03-22,14,31199.91,79,0.18,23916.88
2024-03-23,12,23820.78,68,0.18,24855.45
2024-03-24,19,40679.96,70,0.27,28237.27
2024-03-25,17,33674.94,73,0.23,28249.36
2024-03-26,17,30020.84,64,0.27,29129.21
2024-03-27,13,17047.26,75,0.17,28288.9
2024-03-28,21,44627.64,88,0.24,31581.62
2024-03-29,17,24795.66,77,0.22,30666.73
2024-03-30,20,41159.41,65,0.31,33143.67
2024-03-31,15,29296.28,56,0.27,31517.43
2024-04-01,15,24664.0,72,0.21,30230.16
2024-04-02,11,25128.67,62,0.18,29531.27
2024-04-03,14,31146.31,52,0.27,31545.42
2024-04-04,13,16084.33,67,0.19,27467.81
2024-04-05,17,17615.77,70,0.24,26442.11
2024-04-06,16,21839.64,82,0.2,23682.14
2024-04-07,14,22618.55,88,0.16,22728.18
2024-04-08,21,33560.13,81,0.26,23999.06
2024-04-09,15,23691.3,60,0.25,23793.72
2024-04-10,19,42256.09,84,0.23,25380.83
2024-04-11,12,19209.74,64,0.19,25827.32
2024-04-12,19,38530.89,66,0.29,28815.19
2024-04-13,13,25662.38,66,0.2,29361.3
2024-04-14,15,24427.68,61,0.25,29619.74
2024-04-15,15,28193.19,67,0.22,28853.04
2024-04-16,15,22154.04,57,0.26,28633.43
2024-04-17,15,17463.63,62,0.24,25091.65
2024-04-18,21,35166.19,77,0.27,27371.14
2024-04-19,15,30000.24,85,0.18,26152.48
2024-04-20,17,35622.94,70,0.24,27575.42
2024-04-21,13,29968.86,62,0.21,28367.01
2024-04-22,19,29901.58,61,0.31,28611.07
2024-04-23,10,15302.78,61,0.16,27632.32
2024-04-24,19,32832.82,86,0.22,29827.92
2024-04-25,13,26686.13,58,0.22,28616.48
2024-04-26,16,34834.68,65,0.25,29307.11
2024-04-27,13,22273.85,72,0.18,27400.1
2024-04-28,13,22231.37,72,0.18,26294.74
2024-04-29,14,24199.6,56,0.25,25480.18
2024-04-30,19,47182.29,71,0.27,30034.39
2024-05-01,13,32359.47,65,0.2,29966.77
2024-05-02,12,24314.41,70,0.17,29627.95
2024-05-03,11,13815.5,69,0.16,26625.21
2024-05-04,11,15181.15,66,0.17,25611.97
2024-05-05,11,15568.53,66,0.17,24660.14
2024-05-06,12,21060.94,60,0.2,24211.76
2024-05-07,21,40456.58,89,0.24,23250.94
2024-05-08,21,38017.19,66,0.32,24059.19
2024-05-09,17,44306.11,62,0.27,26915.14
2024-05-10,12,24189.44,69,0.17,28397.13
2024-05-11,15,35216.1,74,0.2,31259.27
2024-05-12,15,22581.01,69,0.22,32261.05
2024-05-13,8,13059.5,68,0.12,31117.99
2024-05-14,12,25605.88,59,0.2,28996.46
2024-05-15,15,27455.56,63,0.24,27487.66
2024-05-16,13,15489.25,57,0.23,23370.96
2024-05-17,21,39530.37,72,0.29,25562.52
2024-05-18,19,46085.66,68,0.28,27115.32
2024-05-19,7,13463.82,59,0.12,25812.86
2024-05-20,11,18414.24,61,0.18,26577.83
2024-05-21,7,6675.41,49,0.14,23873.47
2024-05-22,17,52462.96,61,0.28,27445.96
2024-05-23,21,43195.9,73,0.29,31404.05
2024-05-24,7,9765.15,54,0.13,27151.88
2024-05-25,16,31953.51,59,0.27,25133.0
2024-05-26,15,29342.75,76,0.2,27401.42
2024-05-27,18,30075.48,77,0.23,29067.31
2024-05-28,23,36648.15,91,0.25,33349.13
2024-05-29,8,14418.52,62,0.13,27914.21
2024-05-30,14,19805.03,72,0.19,24572.66
2024-05-31,14,24340.01,68,0.21,26654.78
2024-06-01,12,18157.78,64,0.19,24683.96
2024-06-02,20,45567.69,60,0.33,27001.81
2024-06-03,14,22363.38,63,0.22,25900.08
2024-06-04,17,36188.72,63,0.27,25834.45
2024-06-05,19,32154.35,75,0.25,28368.14
2024-06-06,20,39930.12,62,0.32,31243.15
2024-06-07,13,18065.02,74,0.18,30346.72
2024-06-08,14,25136.75,68,0.21,31343.72
2024-06-09,14,26823.01,70,0.2,28665.91
2024-06-10,8,7945.83,52,0.15,26606.26
2024-06-11,14,30638.85,63,0.22,25813.42
2024-06-12,16,32067.18,58,0.28,25800.97
2024-06-13,19,31378.43,75,0.25,24579.3
2024-06-14,8,15979.18,55,0.15,24281.32
2024-06-15,14,19109.51,63,0.22,23420.28
2024-06-16,13,25670.89,75,0.17,23255.7
2024-06-17,18,35406.43,68,0.26,27178.64
2024-06-18,16,27964.28,64,0.25,26796.56
2024-06-19,9,12394.17,46,0.2,23986.13
2024-06-20,20,44217.8,78,0.26,25820.32
2024-06-21,14,24245.71,65,0.22,27001.26
2024-06-22,16,23867.44,68,0.24,27680.96
2024-06-23,21,36943.39,81,0.26,29291.32
2024-06-24,13,27383.63,77,0.17,28145.2
2024-06-25,18,36774.33,71,0.25,29403.78
2024-06-26,20,21373.03,67,0.3,30686.48
2024-06-27,20,31045.28,75,0.27,28804.69
2024-06-28,19,42008.34,72,0.26,31342.21
2024-06-29,10,12625.56,64,0.16,29736.22
2024-06-30,16,18033.98,70,0.23,27034.88
2024-07-01,16,23379.92,72,0.22,26462.92
2024-07-02,13,23988.28,70,0.19,24636.34
2024-07-03,13,19635.05,67,0.19,24388.06
2024-07-04,21,27587.48,82,0.26,23894.09
2024-07-05,19,33867.96,70,0.27,22731.18
2024-07-06,19,24726.2,60,0.32,24459.84
2024-07-07,10,13890.0,71,0.14,23867.84
2024-07-08,14,32639.2,57,0.25,25190.6
2024-07-09,10,12174.89,69,0.14,23502.97
2024-07-10,9,17224.35,68,0.13,23158.58
2024-07-11,13,19368.76,61,0.21,21984.48
2024-07-12,19,21031.48,76,0.25,20150.7
2024-07-13,15,28421.47,67,0.22,20678.59
2024-07-14,11,13253.14,67,0.16,20587.61
2024-07-15,16,21799.23,68,0.24,19039.05
2024-07-16,25,34695.95,77,0.32,22256.34
2024-07-17,17,30716.87,68,0.25,24183.84
2024-07-18,21,40965.0,73,0.29,27269.02
2024-07-19,10,18911.88,59,0.17,26966.22
2024-07-20,15,37020.41,61,0.25,28194.64
2024-07-21,9,13981.26,54,0.17,28298.66
2024-07-22,16,28506.0,71,0.23,29256.77
2024-07-23,18,33393.59,77,0.23,29070.72
2024-07-24,15,30937.21,67,0.22,29102.19
2024-07-25,10,20581.17,79,0.13,26190.22
2024-07-26,13,22462.13,68,0.19,26697.4
2024-07-27,16,39487.22,63,0.25,27049.8
2024-07-28,9,13641.52,66,0.14,27001.26
2024-07-29,16,31156.12,60,0.27,27379.85
2024-07-30,14,21135.97,66,0.21,25628.76
2024-07-31,18,46644.26,62,0.29,27872.63
2024-08-01,13,17234.01,65,0.2,27394.46
2024-08-02,17,18106.91,61,0.28,26772.29
2024-08-03,11,24047.56,62,0.18,24566.62
2024-08-04,12,22692.73,64,0.19,25859.65
2024-08-05,14,25680.78,74,0.19,25077.46
2024-08-06,18,40753.82,72,0.25,27880.01
2024-08-07,15,32450.62,70,0.21,25852.35
2024-08-08,11,21660.49,77,0.14,26484.7
2024-08-09,14,26325.94,78,0.18,27658.85
2024-08-10,16,29683.75,71,0.23,28464.02
2024-08-11,16,24482.3,72,0.22,28719.67
2024-08-12,20,30898.86,78,0.26,29465.11
2024-08-13,21,52365.97,55,0.38,31123.99
2024-08-14,25,42725.76,79,0.32,32591.87
2024-08-15,16,32521.78,74,0.22,34143.48
2024-08-16,16,21101.24,59,0.27,33397.09
2024-08-17,17,27931.57,70,0.24,33146.78
2024-08-18,9,26697.24,64,0.14,33463.2
2024-08-19,21,41155.93,77,0.27,34928.5
2024-08-20,17,49604.76,77,0.22,34534.04
2024-08-21,25,39559.42,68,0.37,34081.71
2024-08-22,13,24657.67,85,0.15,32958.26
2024-08-23,18,26255.12,74,0.24,33694.53
2024-08-24,17,23118.53,70,0.24,33006.95
2024-08-25,7,4278.74,68,0.1,29804.31
2024-08-26,12,19668.64,59,0.2,26734.7
2024-08-27,29,39672.22,69,0.42,25315.76
2024-08-28,12,29327.0,68,0.18,23853.99
2024-08-29,14,25851.1,58,0.24,24024.48
2024-08-30,20,46001.38,74,0.27,26845.37
2024-08-31,16,31460.86,75,0.21,28037.13
2024-09-01,18,31018.36,68,0.26,31857.08
2024-09-02,9,17368.24,70,0.13,31528.45
2024-09-03,19,29782.84,78,0.24,30115.68
2024-09-04,13,31496.53,69,0.19,30425.62
2024-09-05,16,29148.36,74,0.22,30896.65
2024-09-06,13,20860.51,68,0.19,27305.1
2024-09-07,15,31560.81,74,0.2,27319.38
2024-09-08,15,34845.69,66,0.23,27866.14
2024-09-09,14,19922.56,64,0.22,28231.04
2024-09-10,16,37227.18,73,0.22,29294.52
2024-09-11,16,32944.96,69,0.23,29501.44
2024-09-12,14,22110.57,57,0.25,28496.04
2024-09-13,21,42178.43,76,0.28,31541.46
2024-09-14,15,25240.15,59,0.25,30638.51
2024-09-15,15,39979.13,66,0.23,31371.85
2024-09-16,13,24196.91,76,0.17,31982.48
2024-09-17,13,18074.9,60,0.22,29246.44
2024-09-18,17,22638.57,60,0.28,27774.09
2024-09-19,22,53304.28,79,0.28,32230.34
2024-09-20,22,51991.8,91,0.24,33632.25
2024-09-21,16,27711.93,70,0.23,33985.36
2024-09-22,15,20786.02,53,0.28,31243.49
2024-09-23,10,16474.15,56,0.18,30140.24
2024-09-24,18,32898.3,71,0.25,32257.86
2024-09-25,11,18037.52,68,0.16,31600.57
2024-09-26,18,35805.87,76,0.24,29100.8
2024-09-27,25,46412.45,69,0.36,28303.75
2024-09-28,16,31556.81,64,0.25,28853.02
2024-09-29,15,26793.82,58,0.26,29711.27
2024-09-30,19,31532.46,63,0.3,31862.46
2024-10-01,18,37415.0,72,0.25,32507.7
2024-10-02,12,18172.89,72,0.17,32527.04
2024-10-03,14,30651.53,64,0.22,31790.71
2024-10-04,18,31436.96,74,0.24,29651.35
2024-10-05,12,16963.6,63,0.19,27566.61
2024-10-06,9,16784.23,59,0.15,26136.67
2024-10-07,16,22871.8,65,0.25,24899.43
2024-10-08,13,37115.26,53,0.25,24856.61
2024-10-09,18,30613.1,68,0.26,26633.78
2024-10-10,15,26459.05,72,0.21,26034.86
2024-10-11,14,14614.95,90,0.16,23631.71
2024-10-12,14,28675.52,82,0.17,25304.84
2024-10-13,21,40293.24,68,0.31,28663.27
2024-10-14,20,42057.45,73,0.27,31404.08
2024-10-15,12,17768.98,57,0.21,28640.33
2024-10-16,15,28947.0,75,0.2,28402.31
2024-10-17,12,22852.04,68,0.18,27887.03
2024-10-18,14,16093.75,70,0.2,28098.28
2024-10-19,16,24568.44,68,0.24,27511.56
2024-10-20,19,37559.15,80,0.24,27120.97
2024-10-21,13,21692.46,65,0.2,24211.69
2024-10-22,16,35140.27,73,0.22,26693.3
2024-10-23,18,30028.44,60,0.3,26847.79
2024-10-24,18,37407.58,73,0.25,28927.16
2024-10-25,15,23099.53,75,0.2,29927.98
2024-10-26,4,7413.2,56,0.07,27477.23
2024-10-27,10,14867.26,65,0.15,24235.53
2024-10-28,18,33936.87,68,0.26,25984.74
2024-10-29,14,11638.5,84,0.17,22627.34
2024-10-30,13,21065.75,72,0.18,21346.96
2024-10-31,14,24738.29,69,0.2,19537.06
2024-11-01,15,31604.19,86,0.17,20752.01
2024-11-02,15,35787.64,79,0.19,24805.5
2024-11-03,11,12554.99,62,0.18,24475.18
2024-11-04,12,19263.87,72,0.17,22379.03
2024-11-05,14,16141.18,68,0.21,23022.27
2024-11-06,9,19254.92,66,0.14,22763.58
2024-11-07,9,15099.5,57,0.16,21386.61
2024-11-08,13,16417.05,65,0.2,19217.02
2024-11-09,16,19501.74,66,0.24,16890.46
2024-11-10,15,30525.33,58,0.26,19457.66
2024-11-11,16,27680.7,72,0.22,20660.06
2024-11-12,20,47714.02,76,0.26,25170.47
2024-11-13,14,31167.39,73,0.19,26872.25
2024-11-14,14,22223.82,66,0.21,27890.01
2024-11-15,10,12300.84,55,0.18,27301.98
2024-11-16,15,39080.98,74,0.2,30099.01
2024-11-17,21,38921.97,81,0.26,31298.53
2024-11-18,13,25603.22,62,0.21,31001.75
2024-11-19,17,42544.29,75,0.23,30263.22
2024-11-20,17,33023.05,61,0.28,30528.31
2024-11-21,18,28855.36,73,0.25,31475.67
2024-11-22,20,27500.75,76,0.26,33647.09
2024-11-23,12,19709.27,54,0.22,30879.7
2024-11-24,6,11709.59,60,0.1,26992.22
2024-11-25,14,33704.27,72,0.19,28149.51
2024-11-26,17,25272.55,68,0.25,25682.12
2024-11-27,15,30969.26,67,0.22,25388.72
2024-11-28,12,15368.63,48,0.25,23462.05
2024-11-29,12,21609.79,60,0.2,22620.48
2024-11-30,16,20374.31,59,0.27,22715.49
2024-12-01,10,25462.87,74,0.14,24680.24
2024-12-02,17,37700.62,77,0.22,25251.15
2024-12-03,12,25675.19,64,0.19,25308.67
2024-12-04,23,33757.38,75,0.31,25706.97
2024-12-05,22,38990.51,75,0.29,29081.52
2024-12-06,13,17285.05,71,0.18,28463.7
2024-12-07,17,24237.04,77,0.22,29015.52
2024-12-08,11,17475.36,52,0.21,27874.45
2024-12-09,17,18860.51,56,0.3,25183.01
2024-12-10,19,37072.58,77,0.25,26811.2
2024-12-11,16,39322.38,69,0.23,27606.2
2024-12-12,20,29496.85,82,0.24,26249.97
2024-12-13,17,31711.73,68,0.25,28310.92
2024-12-14,19,37874.83,78,0.24,30259.18
2024-12-15,19,23718.2,67,0.28,31151.01
2024-12-16,23,37374.63,78,0.29,33795.89
2024-12-17,13,23344.87,73,0.18,31834.78
2024-12-18,18,23975.33,70,0.26,29642.35
2024-12-19,17,33148.13,82,0.21,30163.96
2024-12-20,16,23292.47,61,0.26,28961.21
2024-12-21,11,28593.51,55,0.2,27635.31
2024-12-22,15,31469.42,63,0.24,28742.62
2024-12-23,16,20976.16,78,0.21,26399.98
2024-12-24,7,5873.02,58,0.12,23904.01
2024-12-25,12,20962.75,74,0.16,23473.64
2024-12-26,21,35228.64,68,0.31,23770.85
2024-12-27,23,53163.29,74,0.31,28038.11
2024-12-28,14,28653.53,76,0.18,28046.69
2024-12-29,18,30387.09,81,0.22,27892.07
2024-12-30,18,24490.96,77,0.23,28394.18
