product_id,net_revenue,cum_share_pct
394,11721.6,61.19
640,11704.759999999998,61.31
284,11682.76,61.42
744,11657.4,61.54
117,11646.369999999999,61.65
536,11622.92,61.77
669,11592.26,61.88
531,11580.539999999999,62.0
370,11570.78,62.11
494,11570.189999999999,62.22
462,11535.6,62.34
745,11526.88,62.45
642,11524.29,62.57
400,11521.109999999999,62.68
131,11515.1,62.79
710,11478.470000000001,62.91
564,11460.01,63.02
836,11456.33,63.13
316,11445.49,63.25
128,11431.71,63.36
408,11420.36,63.47
877,11411.64,63.59
871,11407.88,63.7
202,11403.279999999999,63.81
47,11398.22,63.92
730,11384.97,64.04
166,11375.2,64.15
463,11347.640000000001,64.26
441,11339.800000000001,64.37
597,11330.74,64.49
514,11322.69,64.6
886,11309.83,64.71
479,11294.119999999999,64.82
497,11291.16,64.93
874,11288.73,65.04
288,11284.94,65.16
345,11248.470000000001,65.27
53,11247.58,65.38
299,11234.21,65.49
558,11202.23,65.6
268,11179.84,65.71
562,11137.82,65.82
787,11136.61,65.93
546,11123.2,66.04
312,11114.6,66.15
373,11107.07,66.26
569,11054.67,66.37
310,11051.26,66.48
23,11037.62,66.59
781,11035.97,66.7
677,11021.02,66.81
359,11014.49,66.91
533,10999.74,67.02
883,10965.449999999999,67.13
487,10961.04,67.24
68,10941.55,67.35
141,10925.529999999999,67.46
391,10915.4,67.56
739,10911.369999999999,67.67
622,10909.78,67.78
610,10909.62,67.89
172,10889.85,68.0
35,10882.43,68.1
423,10880.73,68.21
856,10871.4,68.32
421,10862.19,68.43
689,10858.08,68.53
116,10857.17,68.64
661,10855.35,68.75
183,10850.4,68.85
532,10847.01,68.96
293,10840.9,69.07
693,10838.76,69.18
275,10816.78,69.28
882,10799.34,69.39
455,10793.140000000001,69.5
547,10787.46,69.6
671,10778.43,69.71
341,10772.929999999998,69.82
407,10755.55,69.92
317,10743.07,70.03
586,10742.04,70.14
38,10716.65,70.24
286,10713.27,70.35
258,10654.97,70.45
196,10653.06,70.56
329,10629.18,70.66
865,10615.59,70.77
372,10605.59,70.87
879,10601.26,70.98
406,10577.36,71.08
802,10559.37,71.19
411,10547.5,71.29
460,10544.93,71.39
276,10529.03,71.5
267,10516.4,71.6
666,10503.2,71.71
148,10480.22,71.81
731,10445.33,71.91
765,10435.56,72.02
861,10432.35,72.12
673,10426.11,72.22
475,10418.59,72.33
635,10392.99,72.43
834,10392.64,72.53
535,10380.43,72.63
332,10375.9,72.74
62,10370.880000000001,72.84
757,10365.119999999999,72.94
225,10327.720000000001,73.04
845,10257.6,73.14
655,10256.97,73.25
782,10243.32,73.35
510,10225.25,73.45
343,10204.6,73.55
798,10198.96,73.65
688,10162.95,73.75
73,10160.3,73.85
127,10150.21,73.95
424,10130.91,74.05
776,10127.359999999999,74.15
149,10123.39,74.25
384,10121.060000000001,74.35
854,10119.0,74.45
741,10104.8,74.55
528,10099.23,74.65
578,10085.45,74.75
297,10081.68,74.85
209,10080.87,74.95
122,10037.68,75.05
493,10018.449999999999,75.15
295,9932.05,75.25
620,9897.64,75.34
9,9886.6,75.44
210,9880.7,75.54
729,9865.21,75.64
618,9855.28,75.74
119,9820.27,75.83
5,9819.84,75.93
179,9771.880000000001,76.03
48,9761.24,76.12
563,9753.08,76.22
800,9752.01,76.32
140,9744.81,76.41
250,9707.88,76.51
255,9676.85,76.6
801,9633.0,76.7
773,9621.66,76.79
96,9616.779999999999,76.89
298,9578.19,76.98
352,9577.99,77.08
309,9560.029999999999,77.17
420,9512.87,77.27
875,9497.31,77.36
336,9486.94,77.45
0,9483.18,77.55
507,9480.11,77.64
123,9455.85,77.74
747,9422.83,77.83
262,9415.95,77.92
347,9406.93,78.01
446,9378.26,78.11
264,9347.710000000001,78.2
353,9347.65,78.29
888,9332.21,78.38
866,9323.89,78.48
30,9315.380000000001,78.57
648,9314.3,78.66
470,9310.89,78.75
849,9285.369999999999,78.84
697,9236.72,78.94
110,9192.02,79.03
344,9170.55,79.12
287,9152.95,79.21
606,9132.25,79.3
833,9107.56,79.39
331,9101.46,79.48
176,9087.58,79.57
790,9069.01,79.66
452,9064.95,79.75
850,9039.15,79.84
328,9035.02,79.93
621,9014.85,80.01
412,9011.130000000001,80.1
392,8999.89,80.19
788,8969.89,80.28
443,8969.42,80.37
105,8967.8,80.46
444,8894.189999999999,80.55
311,8889.78,80.63
859,8879.41,80.72
738,8853.01,80.81
863,8831.439999999999,80.9
432,8819.36,80.98
180,8797.25,81.07
416,8780.59,81.16
21,8776.33,81.24
333,8753.41,81.33
265,8745.13,81.42
810,8744.4,81.5
699,8740.92,81.59
403,8726.74,81.68
442,8718.67,81.76
348,8703.04,81.85
381,8631.99,81.93
319,8586.6,82.02
589,8582.77,82.1
794,8568.36,82.19
576,8556.99,82.27
350,8555.05,82.36
302,8554.86,82.44
66,8482.65,82.53
585,8475.54,82.61
766,8464.74,82.69
379,8448.71,82.78
756,8437.47,82.86
101,8423.529999999999,82.94
750,8383.74,83.03
529,8380.93,83.11
867,8376.859999999999,83.19
498,8372.09,83.28
780,8340.279999999999,83.36
167,8338.29,83.44
195,8335.38,83.52
126,8314.57,83.6
668,8290.27,83.69
767,8239.31,83.77
346,8236.57,83.85
605,8231.05,83.93
135,8197.880000000001,84.01
795,8171.32,84.09
616,8159.389999999999,84.17
454,8152.99,84.25
830,8152.8099999999995,84.33
679,8099.51,84.41
848,8091.55,84.49
197,8082.16,84.57
84,8073.56,84.65
437,8033.54,84.73
99,8016.96,84.81
251,8000.169999999999,84.89
539,7992.57,84.97
13,7991.55,85.05
489,7988.889999999999,85.13
480,7986.14,85.21
822,7970.64,85.29
567,7935.93,85.37
524,7919.719999999999,85.44
652,7902.74,85.52
46,7856.3,85.6
85,7837.1,85.68
15,7798.84,85.75
818,7797.58,85.83
574,7762.01,85.91
247,7724.09,85.98
596,7710.69,86.06
771,7701.990000000001,86.14
144,7693.570000000001,86.21
813,7661.860000000001,86.29
769,7653.400000000001,86.36
683,7640.1900000000005,86.44
793,7635.74,86.51
842,7628.139999999999,86.59
277,7616.49,86.67
502,7614.98,86.74
656,7608.839999999999,86.82
426,7605.04,86.89
459,7598.400000000001,86.97
657,7578.92,87.04
667,7566.14,87.12
568,7561.5599999999995,87.19
784,7530.33,87.27
675,7529.85,87.34
779,7525.5,87.41
280,7524.72,87.49
33,7512.89,87.56
75,7478.01,87.64
56,7469.65,87.71
103,7457.37,87.78
282,7452.53,87.86
775,7448.29,87.93
125,7438.75,88.01
244,7427.53,88.08
361,7398.91,88.15
156,7398.219999999999,88.22
42,7381.219999999999,88.3
285,7371.52,88.37
752,7370.84,88.44
827,7331.03,88.52
512,7315.46,88.59
714,7292.5599999999995,88.66
375,7289.92,88.73
355,7276.32,88.8
847,7275.719999999999,88.88
59,7269.16,88.95
545,7192.84,89.02
164,7181.02,89.09
764,7173.97,89.16
698,7140.04,89.23
354,7137.32,89.3
57,7104.35,89.37
169,7096.65,89.44
853,7091.23,89.51
720,7085.58,89.58
279,7071.389999999999,89.65
565,7011.05,89.72
305,6955.18,89.79
1,6943.91,89.86
633,6927.5,89.93
72,6926.860000000001,90.0
812,6911.38,90.06
505,6903.57,90.13
254,6898.93,90.2
239,6823.54,90.27
91,6809.129999999999,90.34
560,6784.4800000000005,90.4
768,6763.5,90.47
895,6754.2,90.54
22,6748.76,90.6
81,6747.87,90.67
458,6743.3,90.74
451,6707.889999999999,90.8
157,6695.4800000000005,90.87
555,6686.31,90.94
351,6677.13,91.0
92,6676.349999999999,91.07
588,6639.71,91.13
17,6616.38,91.2
713,6612.19,91.26
542,6611.08,91.33
45,6591.110000000001,91.39
390,6521.370000000001,91.46
517,6487.15,91.52
743,6453.06,91.59
651,6396.2699999999995,91.65
303,6381.29,91.71
216,6370.76,91.78
229,6343.3,91.84
654,6268.2,91.9
232,6266.68,91.96
74,6262.32,92.02
37,6194.24,92.09
579,6129.68,92.15
87,6120.76,92.21
142,6108.12,92.27
212,6099.259999999999,92.33
199,6099.03,92.39
860,6098.990000000001,92.45
109,6075.38,92.51
706,6061.66,92.57
811,6029.61,92.63
700,6017.36,92.69
829,5998.18,92.75
161,5988.92,92.81
838,5918.42,92.86
740,5872.72,92.92
211,5867.0199999999995,92.98
591,5864.56,93.04
701,5851.0199999999995,93.1
482,5839.06,93.15
65,5826.51,93.21
630,5797.86,93.27
691,5792.7,93.33
449,5789.15,93.38
71,5770.46,93.44
129,5743.11,93.5
112,5725.75,93.55
237,5715.51,93.61
602,5663.73,93.67
39,5660.29,93.72
234,5646.4,93.78
191,5622.200000000001,93.83
523,5605.32,93.89
208,5590.99,93.94
804,5569.3099999999995,94.0
397,5542.65,94.05
330,5530.89,94.11
12,5521.79,94.16
160,5503.71,94.22
315,5500.3,94.27
889,5489.91,94.33
575,5489.54,94.38
414,5488.16,94.43
221,5449.1,94.49
339,5446.63,94.54
682,5437.62,94.6
608,5437.360000000001,94.65
190,5426.23,94.7
52,5414.22,94.76
233,5343.8099999999995,94.81
570,5340.88,94.86
846,5338.91,94.92
799,5328.12,94.97
828,5296.91,95.02
70,5291.110000000001,95.07
217,5287.219999999999,95.12
271,5276.17,95.18
82,5274.13,95.23
592,5255.900000000001,95.28
236,5248.29,95.33
469,5226.0199999999995,95.38
291,5221.0599999999995,95.44
294,5197.8099999999995,95.49
422,5175.9,95.54
796,5160.25,95.59
777,5153.99,95.64
650,5114.22,95.69
473,5085.16,95.74
283,5063.76,95.79
746,5062.83,95.84
595,5053.53,95.89
253,5050.4400000000005,95.94
61,5041.88,95.99
374,5036.65,96.04
751,5024.57,96.09
598,5012.8,96.14
124,4991.45,96.19
313,4978.1900000000005,96.24
448,4971.77,96.29
772,4969.5,96.34
383,4959.5,96.39
613,4954.59,96.44
837,4935.63,96.48
548,4929.98,96.53
783,4891.17,96.58
561,4889.950000000001,96.63
627,4887.969999999999,96.68
152,4880.39,96.73
624,4844.06,96.77
304,4839.53,96.82
133,4831.4400000000005,96.87
582,4816.73,96.92
402,4779.41,96.96
235,4766.55,97.01
680,4742.6900000000005,97.06
418,4741.72,97.11
584,4711.13,97.15
457,4698.28,97.2
4,4693.52,97.24
55,4569.77,97.29
159,4568.66,97.33
797,4526.46,97.38
843,4521.46,97.42
11,4480.32,97.47
594,4416.66,97.51
198,4355.88,97.56
504,4315.24,97.6
703,4298.2,97.64
439,4269.27,97.68
385,4200.92,97.72
189,4191.95,97.77
67,4189.0,97.81
599,4160.4800000000005,97.85
893,4143.36,97.89
186,4114.389999999999,97.93
509,4095.18,97.97
898,4034.84,98.01
256,4017.11,98.05
583,4005.78,98.09
440,3989.49,98.13
540,3989.23,98.17
725,3981.16,98.21
862,3948.57,98.25
43,3935.04,98.29
465,3900.91,98.32
864,3879.47,98.36
228,3878.71,98.4
204,3866.9700000000003,98.44
19,3843.3100000000004,98.48
662,3834.6600000000003,98.52
246,3800.27,98.55
461,3785.9399999999996,98.59
511,3759.37,98.63
815,3592.83,98.66
476,3587.7799999999997,98.7
758,3584.4900000000002,98.73
778,3536.8900000000003,98.77
365,3420.67,98.8
522,3373.74,98.84
243,3370.84,98.87
415,3295.1,98.9
193,3181.5,98.93
516,3180.8599999999997,98.96
525,3077.92,98.99
192,3066.41,99.03
401,3000.79,99.05
171,2984.33,99.08
530,2932.06,99.11
807,2878.71,99.14
158,2868.91,99.17
819,2838.59,99.2
257,2832.08,99.23
7,2821.56,99.25
40,2804.79,99.28
106,2803.86,99.31
617,2789.44,99.34
660,2684.58,99.36
445,2642.68,99.39
41,2634.44,99.42
214,2628.24,99.44
44,2612.92,99.47
36,2549.8100000000004,99.49
572,2533.1,99.52
26,2393.76,99.54
34,2372.6800000000003,99.57
168,2346.43,99.59
541,2189.8900000000003,99.61
182,2183.14,99.63
814,2141.85,99.65
290,2121.53,99.67
115,2096.1,99.69
549,2021.44,99.71
273,1956.5500000000002,99.73
647,1929.0,99.75
231,1915.13,99.77
600,1816.9899999999998,99.79
826,1686.6799999999998,99.81
54,1644.8500000000001,99.82
260,1589.04,99.84
136,1576.02,99.85
604,1564.68,99.87
223,1534.73,99.88
749,1488.43,99.9
146,1419.12,99.91
137,1364.4,99.93
108,1318.58,99.94
389,1315.13,99.95
742,1239.44,99.97
377,1115.64,99.98
184,842.16,99.98
704,842.0799999999999,99.99
478,735.45,100.0
